folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0115.JPG,D:\drone\DCIM\109MEDIA\DJI_0115.JPG,-49.34757286111111,-27.39507227777778,564.559,2026:03:01 15:42:30
109MEDIA,DJI_0116.JPG,D:\drone\DCIM\109MEDIA\DJI_0116.JPG,-49.34739063888889,-27.39505408333333,564.559,2026:03:01 15:42:32
109MEDIA,DJI_0117.JPG,D:\drone\DCIM\109MEDIA\DJI_0117.JPG,-49.34720527777778,-27.395085388888887,564.559,2026:03:01 15:42:34
109MEDIA,DJI_0118.JPG,D:\drone\DCIM\109MEDIA\DJI_0118.JPG,-49.34704005555556,-27.395172249999998,564.659,2026:03:01 15:42:36
109MEDIA,DJI_0119.JPG,D:\drone\DCIM\109MEDIA\DJI_0119.JPG,-49.34687888888889,-27.3952555,564.659,2026:03:01 15:42:38
109MEDIA,DJI_0120.JPG,D:\drone\DCIM\109MEDIA\DJI_0120.JPG,-49.346721361111115,-27.395316527777776,564.759,2026:03:01 15:42:40
109MEDIA,DJI_0121.JPG,D:\drone\DCIM\109MEDIA\DJI_0121.JPG,-49.346704833333334,-27.395322222222223,564.659,2026:03:01 15:42:42
109MEDIA,DJI_0122.JPG,D:\drone\DCIM\109MEDIA\DJI_0122.JPG,-49.3467045,-27.39532133333333,564.659,2026:03:01 15:42:44
109MEDIA,DJI_0123.JPG,D:\drone\DCIM\109MEDIA\DJI_0123.JPG,-49.34670336111111,-27.395321055555556,564.759,2026:03:01 15:42:46
109MEDIA,DJI_0124.JPG,D:\drone\DCIM\109MEDIA\DJI_0124.JPG,-49.34666905555556,-27.395300166666665,564.759,2026:03:01 15:42:48
109MEDIA,DJI_0125.JPG,D:\drone\DCIM\109MEDIA\DJI_0125.JPG,-49.346599861111116,-27.3952625,564.759,2026:03:01 15:42:50
109MEDIA,DJI_0126.JPG,D:\drone\DCIM\109MEDIA\DJI_0126.JPG,-49.34652497222223,-27.395226805555556,564.759,2026:03:01 15:42:52
109MEDIA,DJI_0127.JPG,D:\drone\DCIM\109MEDIA\DJI_0127.JPG,-49.34646552777778,-27.395196944444443,564.759,2026:03:01 15:42:54
109MEDIA,DJI_0128.JPG,D:\drone\DCIM\109MEDIA\DJI_0128.JPG,-49.34646158333334,-27.395192055555555,564.759,2026:03:01 15:42:56
109MEDIA,DJI_0129.JPG,D:\drone\DCIM\109MEDIA\DJI_0129.JPG,-49.346461000000005,-27.39519188888889,564.759,2026:03:01 15:42:58
109MEDIA,DJI_0130.JPG,D:\drone\DCIM\109MEDIA\DJI_0130.JPG,-49.34647808333334,-27.395165527777777,564.659,2026:03:01 15:43:00
109MEDIA,DJI_0131.JPG,D:\drone\DCIM\109MEDIA\DJI_0131.JPG,-49.346514194444445,-27.395108222222223,564.659,2026:03:01 15:43:02
109MEDIA,DJI_0132.JPG,D:\drone\DCIM\109MEDIA\DJI_0132.JPG,-49.346516972222226,-27.395101999999998,564.659,2026:03:01 15:43:04
